game_id,data_type,mode,team_era,roster_reference,quarter_length_seconds,regulation_quarters,overtime_enabled,stamina_enabled,side_1_player_a,side_1_player_b,side_2_player_a,side_2_player_b,side_1_nba_team,side_2_nba_team,side_1_team_strength_assumed,side_2_team_strength_assumed,side_1_final_score,side_2_final_score,winner_side,side_1_wins,simulated_pre_game_p_side_1_win
SIM0001,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Paul,Brian,Corwin,2015-16 Cleveland Cavaliers,1995-96 Chicago Bulls,93,97,50,35,1,1,0.6946
SIM0002,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Paul,Max,Dbart,2013-14 San Antonio Spurs,1993-94 Houston Rockets,94,92,39,41,2,0,0.5233
SIM0003,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Max,Corwin,Dbart,2011-12 New York Knicks,1970-71 Milwaukee Bucks,82,94,45,42,1,1,0.4292
SIM0004,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Brian,Jackson,Dbart,2011-12 Oklahoma City Thunder,2013-14 San Antonio Spurs,91,94,42,45,2,0,0.3547
SIM0005,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ben,Paul,Brian,Max,1986-87 Los Angeles Lakers,1993-94 Houston Rockets,96,92,32,31,1,1,0.6763
SIM0006,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Sam,Paul,Max,1997-98 Chicago Bulls,2011-12 Oklahoma City Thunder,94,91,32,37,2,0,0.3989
SIM0007,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Dbart,Corwin,Jackson,2015-16 Cleveland Cavaliers,1976-77 Philadelphia 76ers,93,89,33,36,2,0,0.4551
SIM0008,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Sam,Ryan,Max,Brian,2015-16 Golden State Warriors,2009-10 Portland Trail Blazers,95,82,28,41,2,0,0.6678
SIM0009,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Sam,Corwin,Max,2006-07 Golden State Warriors,2006-07 Cleveland Cavaliers,83,86,43,49,2,0,0.4651
SIM0010,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Max,Ryan,Dbart,2015-16 Cleveland Cavaliers,1971-72 New York Knicks,93,88,50,38,1,1,0.6864
SIM0011,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Ben,Corwin,Paul,1970-71 Milwaukee Bucks,2003-04 Detroit Pistons,94,92,51,38,1,1,0.6759
SIM0012,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Max,Jackson,Sam,1970-71 Milwaukee Bucks,2011-12 Oklahoma City Thunder,94,91,46,38,1,1,0.4436
SIM0013,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Paul,Dbart,Jackson,1985-86 Atlanta Hawks,2018-19 Toronto Raptors,85,93,32,42,2,0,0.3033
SIM0014,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Jackson,Brian,Max,2018-19 Toronto Raptors,2007-08 Denver Nuggets,93,85,46,33,1,1,0.6967
SIM0015,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Ryan,Dbart,Jackson,1991-92 Chicago Bulls,1971-72 New York Knicks,95,88,44,57,2,0,0.4444
SIM0016,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Max,Jackson,Ryan,Ben,1985-86 Atlanta Hawks,2010-11 Dallas Mavericks,85,91,49,46,1,1,0.5217
SIM0017,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Jackson,Paul,Brian,2005-06 Memphis Grizzlies,2018-19 Toronto Raptors,77,93,49,40,1,1,0.4061
SIM0018,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Max,Ryan,Paul,2015-16 Golden State Warriors,1985-86 Boston Celtics,95,96,37,33,1,1,0.4655
SIM0019,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Ben,Corwin,Paul,2010-11 Dallas Mavericks,1991-92 Chicago Bulls,91,95,42,41,1,1,0.5221
SIM0020,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Ben,Brian,Sam,2009-10 Portland Trail Blazers,2005-06 Miami Heat,82,90,30,34,2,0,0.5212
SIM0021,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Ben,Ryan,Brian,2007-08 Denver Nuggets,1986-87 Los Angeles Lakers,85,96,35,34,1,1,0.5092
SIM0022,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Ryan,Corwin,Ben,1995-96 Chicago Bulls,2005-06 Miami Heat,97,90,36,37,2,0,0.5129
SIM0023,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Ryan,Sam,Corwin,1993-94 Houston Rockets,1985-86 Atlanta Hawks,92,85,51,34,1,1,0.5809
SIM0024,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Ben,Corwin,Paul,2007-08 Boston Celtics,2016-17 Golden State Warriors,94,98,42,38,1,1,0.5449
SIM0025,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Max,Sam,Ryan,2010-11 Chicago Bulls,2000-01 Los Angeles Lakers,89,96,38,36,1,1,0.4191
SIM0026,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Corwin,Max,Ryan,1970-71 Milwaukee Bucks,1997-98 Chicago Bulls,94,94,35,41,2,0,0.3245
SIM0027,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Corwin,Ben,Jackson,Sam,2011-12 Oklahoma City Thunder,1997-98 Chicago Bulls,91,94,31,40,2,0,0.376
SIM0028,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Sam,Max,Dbart,2007-08 Denver Nuggets,2000-01 Los Angeles Lakers,85,96,30,46,2,0,0.2932
SIM0029,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Brian,Max,Ryan,Sam,1991-92 Chicago Bulls,2005-06 Miami Heat,95,90,44,46,2,0,0.5354
SIM0030,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Jackson,Ryan,Ben,Paul,1970-71 Milwaukee Bucks,2010-11 Chicago Bulls,94,89,31,32,2,0,0.5354
SIM0031,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Jackson,Ben,Brian,2016-17 Golden State Warriors,1985-86 Boston Celtics,98,96,32,29,1,1,0.6555
SIM0032,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Paul,Max,Dbart,Brian,2005-06 Memphis Grizzlies,2003-04 Detroit Pistons,77,92,40,36,1,1,0.5312
SIM0033,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Ryan,Corwin,Sam,Paul,2015-16 Golden State Warriors,2016-17 Golden State Warriors,95,98,35,26,1,1,0.3547
SIM0034,synthetic,2v2,classic,NBA 2K26-inspired; assumed strengths,180,4,False,False,Dbart,Max,Ben,Brian,2000-01 Los Angeles Lakers,1971-72 New York Knicks,96,88,47,38,1,1,0.6142
